recommendation_id,game,verdict,excerpt,source_url
231814120,meltopia,negative,Game is not really a game and more of a dig a hole style system where you upgrade,https://steamcommunity.com/profiles/76561198017477593/recommended/3601800/
232845435,meltopia,negative,Game's pacing is terrible. Like others have said it's pretty fun at first but once you unluck the,https://steamcommunity.com/profiles/76561198022722209/recommended/3601800/
232436566,meltopia,negative,Once you get the tesla gun your first gun is worthless other then heating up a furance or,https://steamcommunity.com/profiles/76561197961527707/recommended/3601800/
225333662,meltopia,negative,"Game lacks content. the game is missing content. You melt snow, collect scrap, sell scrap at a fixed",https://steamcommunity.com/profiles/76561197996366014/recommended/3601800/
226335559,meltopia,negative,It was fun and relaxing until I get the second gun or get to any place with the,https://steamcommunity.com/profiles/76561198839686043/recommended/3601800/
225902427,meltopia,negative,"Its honestly an ""Alright"" game. The concept is good. Fun at first even. But its quiet, theres nothing",https://steamcommunity.com/profiles/76561198027834310/recommended/3601800/
225520385,meltopia,negative,"Honestly I think this is a gem in the rough, potential wise. The areas feel more magical, which",https://steamcommunity.com/profiles/76561198155994008/recommended/3601800/
226273336,meltopia,negative,Game is unplayable after last update. Game locks up after picking second gun.,https://steamcommunity.com/profiles/76561198079757772/recommended/3601800/
231702674,meltopia,negative,This game is bad.... Let me explain. 1. The first 1/3 of the game feels more cohesive and,https://steamcommunity.com/profiles/76561197976948820/recommended/3601800/
232249343,meltopia,negative,"The first hour or two is good, then the developers artificially slow down everything in the name of",https://steamcommunity.com/profiles/76561198002290879/recommended/3601800/
225370049,meltopia,negative,"This game feels incomplete. Gameplay loop is basically the same as ""A Game About Digging A Hole"" (just",https://steamcommunity.com/profiles/76561199069435769/recommended/3601800/
224793480,meltopia,negative,If you're at all interested in this game I think you'll expect a certain level of jank to,https://steamcommunity.com/profiles/76561197998522331/recommended/3601800/
232157220,meltopia,negative,All is well unril you get the tesla and suddenly is a slow painfull grind. almost resetting to,https://steamcommunity.com/profiles/76561197990444676/recommended/3601800/
232141017,meltopia,negative,Painfully slow game loop. Just back-and-forth with resources 'cause your inventory fills up so quickly. It's like A,https://steamcommunity.com/profiles/76561198003396047/recommended/3601800/
224855664,meltopia,negative,"The slowest gameplay for any game I've played in this genre, reading other reviews it seems like the",https://steamcommunity.com/profiles/76561198012498116/recommended/3601800/
224667805,meltopia,negative,"Achievements don't work, they said they fixed it, but in an incremental game fixing achievements should be retroactive,",https://steamcommunity.com/profiles/76561197993679603/recommended/3601800/
232588782,meltopia,negative,"Like a lot of complaints, there's no map. It makes navigating things really difficult and the penalty for",https://steamcommunity.com/profiles/76561198023434238/recommended/3601800/
230207839,meltopia,negative,Too little content for the price. It gets boring after just a couple of hours; everything becomes repetitive,https://steamcommunity.com/profiles/76561198019418105/recommended/3601800/
229660049,meltopia,negative,Left pretty unsatisfied by the end. It has bugs like weapons not working if you get frozen and,https://steamcommunity.com/profiles/76561198031762202/recommended/3601800/
229622088,meltopia,negative,"The game is fine, though it gets VERY repetitive very fast. That's not the biggest issue though, the",https://steamcommunity.com/profiles/76561198000075922/recommended/3601800/
229280187,meltopia,negative,"First few hours had a good gameplay loop: melt ice, upgrade, collect relics, repeat. Then after a few",https://steamcommunity.com/profiles/76561198093523141/recommended/3601800/
225516025,meltopia,negative,I do not recommend this game for anyone running linux at this time. Game is slowly getting better,https://steamcommunity.com/profiles/76561197983902206/recommended/3601800/
225313449,meltopia,negative,"I feel somewhat bad rating not recommended. The game isn't exactly bad, but it's not good either. It's",https://steamcommunity.com/profiles/76561198067357199/recommended/3601800/
229596570,meltopia,negative,"I really like this game, nothing special, just your average ""Wash, rinse, and repeat."" kind of game that",https://steamcommunity.com/profiles/76561198399854877/recommended/3601800/
225405713,meltopia,negative,Not a bad game overall. It’s one of those loop games where you have to dig to upgrade,https://steamcommunity.com/profiles/76561198144186444/recommended/3601800/
228559396,meltopia,negative,Auto save for some reason lags the game so i took it off. After finishing the mammoth skeleton,https://steamcommunity.com/profiles/76561198029863015/recommended/3601800/
229175943,meltopia,negative,lots of different free assets were used which makes everything enviromental detail look weird and out of place.,https://steamcommunity.com/profiles/76561198057506375/recommended/3601800/
226442735,meltopia,negative,"I am having a hard time recommending this game. I didn't hate it, but it feels very much",https://steamcommunity.com/profiles/76561198258419335/recommended/3601800/
226426400,meltopia,negative,Please learn from my and other users' mistake. This game is great up until you get the Tesla,https://steamcommunity.com/profiles/76561198170915222/recommended/3601800/
226198582,meltopia,negative,This takes me back to the time I got frozen when living on Mt. Soupy. It was the,https://steamcommunity.com/profiles/76561198843689583/recommended/3601800/
225051686,meltopia,negative,"The game is not bad but it is very small. There are bugs that are at least fixed,",https://steamcommunity.com/profiles/76561198032649576/recommended/3601800/
224858305,meltopia,negative,"This game has the worst gamepad controls I've ever seen. The toggle sprint doesn't toggle, and your stuck",https://steamcommunity.com/profiles/76561198001913815/recommended/3601800/
230330473,meltopia,negative,Used the flamethrower only for a short period of the time... Then you are stuck with the teslagun,https://steamcommunity.com/profiles/76561198067387476/recommended/3601800/
225229511,meltopia,negative,"Normally, I'd say the game is overall somewhere around 4-5 out of 10. Nothing special, but not too",https://steamcommunity.com/profiles/76561198073787718/recommended/3601800/
234636653,meltopia,negative,"Honestly, no. I gave it a good go, and it was addictive in a bad way. Played for",https://steamcommunity.com/profiles/76561198056676356/recommended/3601800/
234414222,meltopia,negative,I have 45/46 achievements... the ONLY achievement that hasn't unlocked is the achievement for having all the achievements......,https://steamcommunity.com/profiles/76561198022047408/recommended/3601800/
233696660,meltopia,negative,"Honestly, not a terrible game, but quickly devolves into ""melt snow till you reach item cap, go WAY",https://steamcommunity.com/profiles/76561198048245982/recommended/3601800/
233587522,meltopia,negative,The entire game has a feeling like the developer put in the least amount of effort possible. Like,https://steamcommunity.com/profiles/76561197993081468/recommended/3601800/
233540180,meltopia,negative,"A bit of a common complaint, but when you get a second melta, the Tesla gun, basically you",https://steamcommunity.com/profiles/76561198007600571/recommended/3601800/
233378858,meltopia,negative,"It's fun, but the second weapon, the tesla gun, feels just too slow to upgrade. I did push",https://steamcommunity.com/profiles/76561198005184524/recommended/3601800/
233352998,meltopia,negative,"Its a small fun game, but the weapon reset in the middle and the awful ""frozen"" death because",https://steamcommunity.com/profiles/76561198038088544/recommended/3601800/
233200955,meltopia,negative,"Game looks unfinished, and has an AI vibe about it. There is no magic, nothing interesting, all assets",https://steamcommunity.com/profiles/76561198024491278/recommended/3601800/
233112024,meltopia,negative,"The best thing about this game is what it is short. Not the best gameplay, the story is",https://steamcommunity.com/profiles/76561198951474426/recommended/3601800/
233061012,meltopia,negative,THE WORLD IS YOUR OYSTER AND YOU WONT EVEN TAKE YOUR SHOES OFF!!!! ??? The game feels more,https://steamcommunity.com/profiles/76561198072130420/recommended/3601800/
232919652,meltopia,negative,game freezes every auto save. there is an issue with the mouse moving messing up melting. running back,https://steamcommunity.com/profiles/76561198217045463/recommended/3601800/
232825922,meltopia,negative,"This should've been released as Early Access. I finished* it because I was bored, but I wouldn't recommend",https://steamcommunity.com/profiles/76561198052805969/recommended/3601800/
232551143,meltopia,negative,Horrible 2nd weapon takes all the starting progression out,https://steamcommunity.com/profiles/76561198011931375/recommended/3601800/
232387583,meltopia,negative,Kind of stupid. Makes no sense. Play it while you're drunk and have no internet and your legs,https://steamcommunity.com/profiles/76561198132868208/recommended/3601800/
232139691,meltopia,negative,مع الاسف تعتبر حلوه بس فيها عيوب مزعجه اولها بقز واذا جا يحفظ لااااق والثاني الابقريدز اثرها ضعييف,https://steamcommunity.com/profiles/76561198308428570/recommended/3601800/
232092634,meltopia,negative,It was fun at the flamethrower sections where there was lots of interesting stuff to find and new,https://steamcommunity.com/profiles/76561198049266997/recommended/3601800/
231627157,meltopia,negative,"get ""upgraded technology"", don't last as long in the cold. what the hell is this?",https://steamcommunity.com/profiles/76561198351409582/recommended/3601800/
230867034,meltopia,negative,"This game is fun for about half an hour and becomes utterly boring after that, because the game-play",https://steamcommunity.com/profiles/76561197986483347/recommended/3601800/
230759552,meltopia,negative,I got all the achievements I could and it cheated me out of getting the completion trophy.,https://steamcommunity.com/profiles/76561198073066198/recommended/3601800/
230559181,meltopia,negative,The game is very addictive. My perfectionism didnt let me leave even small pieces of the snow in,https://steamcommunity.com/profiles/76561198131450337/recommended/3601800/
229913118,meltopia,negative,Its a buggy mess and the Achievements are bugged. It's a decent way to kill a few hours,https://steamcommunity.com/profiles/76561198041577559/recommended/3601800/
229894821,meltopia,negative,"It's a good premise for an incremental game. It's very big, and at some point I got lost",https://steamcommunity.com/profiles/76561198042042970/recommended/3601800/
229862354,meltopia,negative,a perfect example of why the 2h refund period is a god send,https://steamcommunity.com/profiles/76561198305458348/recommended/3601800/
229748414,meltopia,negative,quickly becomes wildly tedious. but it is fun for like 90 minutes. things that could improve the game:,https://steamcommunity.com/profiles/76561199070382591/recommended/3601800/
229742859,meltopia,negative,"I liked this game initially, but unfortunately, I hit a wall. There seems to be a bug where",https://steamcommunity.com/profiles/76561199389523890/recommended/3601800/
229720156,meltopia,negative,This is absolutly badly developed. Herte is why: 1. The flamethrower feels like a lighter. No range (on,https://steamcommunity.com/profiles/76561197971023886/recommended/3601800/
229715243,meltopia,negative,"Doesn't scale well. First level is pretty fun. Second level is huge, sprawling, takes forever to clear, and",https://steamcommunity.com/profiles/76561198011389899/recommended/3601800/
229414496,meltopia,negative,"The game starts off okay, but after a few hours it becomes a game of running back and",https://steamcommunity.com/profiles/76561198757832547/recommended/3601800/
229379758,meltopia,negative,first and most frustrating: WHAT A HELL WITH AUTOSAVES? its 2026. not 1990. where you had to wait,https://steamcommunity.com/profiles/76561198102967654/recommended/3601800/
229373517,meltopia,negative,I can't recommend it in its current state; the bare minimum I expect from a game is that,https://steamcommunity.com/profiles/76561197972387799/recommended/3601800/
229347541,meltopia,negative,Game itself is a super neat idea on the surplus of digging type games but this is a,https://steamcommunity.com/profiles/76561198167554669/recommended/3601800/
229000430,meltopia,negative,"'-Most tutorial pop ups have no words, so you don't know what they're supposed to be telling you",https://steamcommunity.com/profiles/76561198275957258/recommended/3601800/
228711830,meltopia,negative,"Very fun game to play, and with the update that is announced I do think it will even",https://steamcommunity.com/profiles/76561198157344038/recommended/3601800/
228022977,meltopia,negative,at first its fun until your at the areas where even with maximum heat protection you only last,https://steamcommunity.com/profiles/76561198085201745/recommended/3601800/
227984743,meltopia,negative,Tutorial videos don't work due to using a proprietary video codec (h264) Other than that the game is,https://steamcommunity.com/profiles/76561198530523418/recommended/3601800/
227587782,meltopia,negative,Game was fun until i got to the shovel. Its so painfully slow and there are no upgrades.,https://steamcommunity.com/profiles/76561199102321453/recommended/3601800/
227328163,meltopia,negative,"The game is decent, but in the end it annoys as hell. Have not finished, but I don't",https://steamcommunity.com/profiles/76561198000802991/recommended/3601800/
227216053,meltopia,negative,"Meltopia is not a bad game. It's not a good game either—it's just ""meh"". It's more of what",https://steamcommunity.com/profiles/76561197964109781/recommended/3601800/
227103599,meltopia,negative,"The definition of a game designed to burn your refund window. The game is poorly optimized, and everything",https://steamcommunity.com/profiles/76561198039739165/recommended/3601800/
226921347,meltopia,negative,Honestly.... it was a meh experience,https://steamcommunity.com/profiles/76561197990647554/recommended/3601800/
226722655,meltopia,negative,"Initially was nice to play, but I tend to get lost in such games, and when I get",https://steamcommunity.com/profiles/76561198096363212/recommended/3601800/
226715647,meltopia,negative,Searching takes too long.,https://steamcommunity.com/profiles/76561197985232334/recommended/3601800/
226522316,meltopia,negative,Trash,https://steamcommunity.com/profiles/76561197993010053/recommended/3601800/
226469846,meltopia,negative,"Asset flipped game with bad coding, a lot of bugs, unplayable after the point of getting the tesla",https://steamcommunity.com/profiles/76561198813607373/recommended/3601800/
226404428,meltopia,negative,"Meltopia - Neat Idea, Zero Polish Neat stylized graphics are literally the only positive thing I can say",https://steamcommunity.com/profiles/76561197982343107/recommended/3601800/
226382053,meltopia,negative,Logging in a few days ago I had lost all of my progress. What is the point of,https://steamcommunity.com/profiles/76561198153902997/recommended/3601800/
226191402,meltopia,negative,This is a game about melting snow to go deeper to collect artifacts. there's a few upgrades. First,https://steamcommunity.com/profiles/76561198023056223/recommended/3601800/
226170526,meltopia,negative,first it was a good chill game. now the heat level sinks so fast i cant go for,https://steamcommunity.com/profiles/76561198392615917/recommended/3601800/
226130070,meltopia,negative,"devs rebalanced something, now i lose too much heat going through an area and cant even reach the",https://steamcommunity.com/profiles/76561198103349147/recommended/3601800/
226089882,meltopia,negative,Bought Meltopia expecting an adventure. Instead I got promoted to full-time snow excavation worker. Wake up. Melt snow.,https://steamcommunity.com/profiles/76561198311080338/recommended/3601800/
229904514,meltopia,positive,"Eh I played it, there's not much to it I'd neutral if there was that option. Story is",https://steamcommunity.com/profiles/76561198136806873/recommended/3601800/
227449147,meltopia,positive,"The game is exactly what you thought it was. You melt ice, you upgrade your tools to melt",https://steamcommunity.com/profiles/76561198024408100/recommended/3601800/
224698768,meltopia,positive,Pretty enjoyable so far! I'm a fan of games like Powerwash Sim and stuff like that- but I,https://steamcommunity.com/profiles/76561199058222591/recommended/3601800/
224532706,meltopia,positive,It's a chill game with a simple gameplay loop that doesn't get boring. Looking for various things in,https://steamcommunity.com/profiles/76561198150479475/recommended/3601800/
226104829,meltopia,positive,"Easy, very calm and relaxing game. You have to melt ice and snow in order to get through",https://steamcommunity.com/profiles/76561197977858975/recommended/3601800/
225198707,meltopia,positive,"It's short. I kind of expected more puzzles, or really some puzzles, but I enjoyed this game. I",https://steamcommunity.com/profiles/76561197996471720/recommended/3601800/
228941385,meltopia,positive,"This is one of those games that would deserve a ""Meh"" rating if Steam had it. It's a",https://steamcommunity.com/profiles/76561198066593157/recommended/3601800/
231984785,meltopia,positive,It is a nice diggin (err melting) game. but it has two fatal flaws: 1. you got only,https://steamcommunity.com/profiles/76561198043472327/recommended/3601800/
226288943,meltopia,positive,"A fun little game that takes about 6-7 hours to complete. But, the cutscenes doesn't work with Linux.",https://steamcommunity.com/profiles/76561198190940867/recommended/3601800/
224722890,meltopia,positive,"This game is exactly as you'd expect it. kinda runs like ♥♥♥♥, but regardless of the low frame.",https://steamcommunity.com/profiles/76561198116517426/recommended/3601800/
224608018,meltopia,positive,"If you like melting snow away with a flamethrower, this game is for you. It is oddly satisfying",https://steamcommunity.com/profiles/76561199127030803/recommended/3601800/
228067172,meltopia,positive,Game is well made. It is short but doesn't overstay its welcome. I spent 7 hours fully clearing,https://steamcommunity.com/profiles/76561198039526567/recommended/3601800/
232114602,meltopia,positive,Here are some things I liked and disliked from the game: Things I liked: The game is fun,https://steamcommunity.com/profiles/76561198220371575/recommended/3601800/
224535666,meltopia,positive,The game turned out to be super sticky. I didn't expect it to hook me from the very,https://steamcommunity.com/profiles/76561199050372131/recommended/3601800/
225261958,meltopia,positive,"What can I say... probably the same as the others. It's a relatively short, simple indie game about",https://steamcommunity.com/profiles/76561198055017547/recommended/3601800/
224951395,meltopia,positive,"Game is okay, but couldnt finish it due the absurd amount of crossroads and no guide whatsoever. It",https://steamcommunity.com/profiles/76561198266041843/recommended/3601800/
224611072,meltopia,positive,"its okay, it is chill. You end up being able to max everything out quickly and then thats",https://steamcommunity.com/profiles/76561198044671388/recommended/3601800/
224875881,meltopia,positive,"A simple ""digging"" game, even the tutorials don't really explain much and you have to figure it out.",https://steamcommunity.com/profiles/76561198072441983/recommended/3601800/
229942231,meltopia,positive,I like he nature of the game. The upgrades come at the right pace and it explains most,https://steamcommunity.com/profiles/76561198005608875/recommended/3601800/
225011191,meltopia,positive,Fun times. Enjoyable music and quite the relaxing time,https://steamcommunity.com/profiles/76561198040957132/recommended/3601800/
224538269,meltopia,positive,"Very neat game, progression is nice, differents paths are cool, enjoyed a lot. Will continue exploring. Recommended.",https://steamcommunity.com/profiles/76561198083740942/recommended/3601800/
224660342,meltopia,positive,"Nifty little ""Digging-like"" game, pretty enjoyable, not too long, not too short, very affordably priced. If you like",https://steamcommunity.com/profiles/76561198126842625/recommended/3601800/
224539387,meltopia,positive,Nice and chill first person incremental game.,https://steamcommunity.com/profiles/76561197993141428/recommended/3601800/
224760970,meltopia,positive,The younger brother of Powerwash Simulator. Less polished and less expensive. Worth its price.,https://steamcommunity.com/profiles/76561198079840370/recommended/3601800/
224724824,meltopia,positive,"Great game loop, and exploring all the caves and removing all the snow and ice is very satisfying.",https://steamcommunity.com/profiles/76561197976001354/recommended/3601800/
215591058,super-motherload,negative,I would LOOOVE to give my childhood game a thumbs up BUT. The Goldium version has this bug,https://steamcommunity.com/profiles/76561197999618643/recommended/269110/
226258960,super-motherload,negative,"A dissapointing sequel to the original. As a matter of fact, i prefer the original. This game has",https://steamcommunity.com/profiles/76561198067561923/recommended/269110/
214346956,super-motherload,negative,"This game feels literally incomplete. I really wanted to love it, but there are too many basic issues",https://steamcommunity.com/profiles/76561198057802666/recommended/269110/
221248232,super-motherload,negative,"The game does refresh the original Motherloads gameplay with puzzles and progression, but the game tends to crash",https://steamcommunity.com/profiles/76561198072882121/recommended/269110/
227405012,super-motherload,negative,I primarily bought this for the inclusion of Motherload Goldium Edition which is an .EXE in the files.,https://steamcommunity.com/profiles/76561198217924223/recommended/269110/
214946233,super-motherload,negative,"Wanted to re-play that game for a while, cause had fun when it was made on flash. Glad,",https://steamcommunity.com/profiles/76561198039208153/recommended/269110/
209799132,super-motherload,negative,"Reasonably fun. Probably not worth the price tag. If the price isn't a concern, maybe it's worth trying.",https://steamcommunity.com/profiles/76561198147022335/recommended/269110/
207937090,super-motherload,negative,I feel like this has lost a lot of what made the original so much fun. Also feels,https://steamcommunity.com/profiles/76561198007910733/recommended/269110/
208096817,super-motherload,negative,"Goldium doesn't launch, main game crashes, this is nostalgia cashgrag ass",https://steamcommunity.com/profiles/76561198009431427/recommended/269110/
211848407,super-motherload,negative,"Classic Motherload is awesome. No complaints. Big nostalgia. Super Motherload presented me with rock I cannot dig, and",https://steamcommunity.com/profiles/76561198027628447/recommended/269110/
208816854,super-motherload,negative,"Won't launch, save your money.",https://steamcommunity.com/profiles/76561198031027324/recommended/269110/
203458098,super-motherload,negative,"It has potential, but the video settings are too much of a pain in the arse. You have",https://steamcommunity.com/profiles/76561197971220290/recommended/269110/
202261276,super-motherload,negative,"Fun at first but there's a lot of things that get extremely annoying as you progress, and there's",https://steamcommunity.com/profiles/76561198449556530/recommended/269110/
201853112,super-motherload,negative,"You know, it's fine I guess. But honestly, I really like the aesthetic and the feel of the",https://steamcommunity.com/profiles/76561198019734822/recommended/269110/
199398148,super-motherload,negative,"I enjoyed the first few hours. Drill, gather ore, fly back up to sell and upgrade, repeat. A",https://steamcommunity.com/profiles/76561198025056840/recommended/269110/
198009716,super-motherload,negative,trash game,https://steamcommunity.com/profiles/76561198044916804/recommended/269110/
190123551,super-motherload,negative,"Game does not work, hasn't for months. Why have the devs not fixed this? Why hasn't steam taken",https://steamcommunity.com/profiles/76561198286117024/recommended/269110/
189587770,super-motherload,negative,does not open,https://steamcommunity.com/profiles/76561198047234216/recommended/269110/
188775309,super-motherload,negative,"Does not work on Windows 10, I get a bug they supposedly squashed in 2014 (unknown I/O error",https://steamcommunity.com/profiles/76561198357961896/recommended/269110/
188386254,super-motherload,negative,DO NOT DOWNLOAD What as waste of money. Game wont open for me and turns out for a,https://steamcommunity.com/profiles/76561199127368635/recommended/269110/
188290951,super-motherload,negative,"It may sound bizzare, but the original Motherload game is much more enjoyable to play. Even despite the",https://steamcommunity.com/profiles/76561198050370440/recommended/269110/
187846563,super-motherload,negative,after 3.2 hours of playtime. i can say. no this is frustratingly awful and designed in a way,https://steamcommunity.com/profiles/76561198050542952/recommended/269110/
185720595,super-motherload,negative,"Died during the final escape sequence, and the thought of having to get back down there only to",https://steamcommunity.com/profiles/76561198009168688/recommended/269110/
177380848,super-motherload,negative,Took 10 years for them to make the game worse,https://steamcommunity.com/profiles/76561197996791953/recommended/269110/
176757210,super-motherload,negative,"I bought this game for some coop fun, but the slow progression and a few bugs ruined it.",https://steamcommunity.com/profiles/76561197965388910/recommended/269110/
175413310,super-motherload,negative,,https://steamcommunity.com/profiles/76561199134131086/recommended/269110/
174973433,super-motherload,negative,,https://steamcommunity.com/profiles/76561198052975913/recommended/269110/
169642765,super-motherload,negative,"Game crashes randomly when using explosives, and saves your used items for the final boss fight. The final",https://steamcommunity.com/profiles/76561198182602662/recommended/269110/
169316376,super-motherload,negative,"It was a fun game until it stopped loading, The discussion for the game shows many others with",https://steamcommunity.com/profiles/76561199210035833/recommended/269110/
168715728,super-motherload,negative,no,https://steamcommunity.com/profiles/76561198445806869/recommended/269110/
165950716,super-motherload,negative,no mr. natas,https://steamcommunity.com/profiles/76561198141637633/recommended/269110/
164003818,super-motherload,negative,"The game itself is entertaining, but it does not pose any challenge, just collect minerals to upgrade the",https://steamcommunity.com/profiles/76561198003818180/recommended/269110/
163795740,super-motherload,negative,"While the base game is good, the menus are downright awful, it is nearly impossible to tell what",https://steamcommunity.com/profiles/76561198988574168/recommended/269110/
160080688,super-motherload,negative,.,https://steamcommunity.com/profiles/76561198408920382/recommended/269110/
157009009,super-motherload,negative,"If you are thinking of playing this game to feel nostalgic and experience the classic Motherload, DON'T. It",https://steamcommunity.com/profiles/76561198005403722/recommended/269110/
156122782,super-motherload,negative,"Game doesn't open for me. I loved the original online game, but I haven't had the chance to",https://steamcommunity.com/profiles/76561198259331342/recommended/269110/
155790659,super-motherload,negative,"only have check point save,very annoying, ilost alot of time on some levels that is lost, and very",https://steamcommunity.com/profiles/76561199090656354/recommended/269110/
149980339,super-motherload,negative,Not worth the money,https://steamcommunity.com/profiles/76561198282553806/recommended/269110/
149372803,super-motherload,negative,"i thought i was gonna play an upgraded version of a childhood classic flash game, instead i played",https://steamcommunity.com/profiles/76561198136407998/recommended/269110/
148811132,super-motherload,negative,Disappointing and extremely bare bones when it comes to the upgrades compared to the original. More often than,https://steamcommunity.com/profiles/76561198268995265/recommended/269110/
148677067,super-motherload,negative,"Controls are wank, if playing on keyboard like most pc users then your fked and someone you can",https://steamcommunity.com/profiles/76561198054346551/recommended/269110/
147934629,super-motherload,negative,"Dig, Collect, Refuel, Repeat – Addictive but ultimately unrewarding and lacking replayability – 4/10 Super Motherload seems like",https://steamcommunity.com/profiles/76561198028761351/recommended/269110/
146265816,super-motherload,negative,"Its just not what the first was one was. More like a $5 game, really.",https://steamcommunity.com/profiles/76561199252877687/recommended/269110/
142420467,super-motherload,negative,"There's no point in this game, you will spend 50% of your gameplay going up and down",https://steamcommunity.com/profiles/76561198066231005/recommended/269110/
142241590,super-motherload,negative,"Buy it for the original, super motherload is just a worse version. Getting to the final area is",https://steamcommunity.com/profiles/76561198065272219/recommended/269110/
142232734,super-motherload,negative,Supermotherload : The Up and down game - it drove me up and down! Overview: Mediocre digger game,https://steamcommunity.com/profiles/76561198043627942/recommended/269110/
131964475,super-motherload,negative,You simply can't play with all these unbreakeable things,https://steamcommunity.com/profiles/76561198121633961/recommended/269110/
131839390,super-motherload,negative,I remember playing Motherload countless hours in Miniclip many years ago. The original game had some cool mechanics,https://steamcommunity.com/profiles/76561198070927680/recommended/269110/
130468952,super-motherload,negative,Didn't realise (because they didn't say) that the normal difficulty has no risk of dying via fuel emptying.,https://steamcommunity.com/profiles/76561198011696520/recommended/269110/
129491061,super-motherload,negative,"Game launches to a blank white screen with Steam overlays, so I don't know if it's any good",https://steamcommunity.com/profiles/76561197995823577/recommended/269110/
129078905,super-motherload,negative,"A good game that keeps crashing, frustrating.",https://steamcommunity.com/profiles/76561198067146401/recommended/269110/
125716176,super-motherload,negative,the original game was better,https://steamcommunity.com/profiles/76561198109695605/recommended/269110/
125616579,super-motherload,negative,From a player of the original motherload; this is a let down. I got a refund fyi,https://steamcommunity.com/profiles/76561197961032403/recommended/269110/
124007291,super-motherload,negative,"I played the OG motherload back in the day, but I can't recommend this installment except maybe on",https://steamcommunity.com/profiles/76561198036159822/recommended/269110/
123701811,super-motherload,negative,"It's a short game with a strong start, ok middle, and an end the crawls into a slogfest.",https://steamcommunity.com/profiles/76561198025286003/recommended/269110/
114084908,super-motherload,negative,filled with bugs and control issues how can you manage to f up such a simplistic game lol,https://steamcommunity.com/profiles/76561198060062838/recommended/269110/
113926611,super-motherload,negative,"It almost feels unfair to do this, but I just can't help compare this game to Steamworld Dig",https://steamcommunity.com/profiles/76561197976547657/recommended/269110/
113824244,super-motherload,negative,There is a problem in the game controls and also in the audio,https://steamcommunity.com/profiles/76561198267124300/recommended/269110/
112436696,super-motherload,negative,Game is okay but tends to crash on the last(?) boss...,https://steamcommunity.com/profiles/76561198046967501/recommended/269110/
111690751,super-motherload,negative,I remember having a lot of fun with the original Motherload Flash game by XGen Studios back in,https://steamcommunity.com/profiles/76561198093300271/recommended/269110/
110899461,super-motherload,negative,"I own the physical board game based on this, which is pretty good, so I thought the precursor",https://steamcommunity.com/profiles/76561197961951106/recommended/269110/
110599021,super-motherload,negative,"Negative review because I'm on the boss, having some issues killing it and the game has crashed 2",https://steamcommunity.com/profiles/76561198005732109/recommended/269110/
108431690,super-motherload,negative,"Progress is preserved between runs and impossible to reset, so after a while you're stuck with your characters",https://steamcommunity.com/profiles/76561198084970807/recommended/269110/
