key,screen,copy,condition,actions,source,decision,proposal,user_verdict,notes,evidence
settings.binding-labels,Settings / Controls,"Movement
Move forward
Move backward
Move left
Move right
Hold to sprint
Hold to crouch
Jump / jetpack
Actions
Dig / collect / throw
Lift / drop find
Interact
Inventory
Pause",12 implemented bindings in displayed group order,Select binding -> release/listening; default order independent of saved enum IDs,unity/Assets/Runtime/UI/Toolkit/ToolkitInputSettings.cs; unity/Assets/Runtime/Player/InputPreferences.cs,CHANGE,"Single scrolling list, aligned with mouse/digging rows",UNREVIEWED,,Source traced; runtime coverage listed in screens.md
settings.binding-values,Settings / Controls,{InputPreferences.Display(binding)},"Default W/S/A/D, Left Shift, Left Ctrl, Space, LMB, RMB, E, Tab, Escape; actual keyboard labels from Input System",Rebind; cancel; swap conflicting bindings,unity/Assets/Runtime/Player/InputPreferences.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
binding.idle,Settings / Controls,,Hidden; routine copy removed in 122,Select action,unity/Assets/Runtime/Player/InputBindingCapture.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
binding.release,Settings / Controls,{action}: release buttons. Esc cancels.,Capture opening button still held; mode/bindings/tabs/reset disabled,Release all buttons -> Listening; Escape cancels,unity/Assets/Runtime/Player/InputBindingCapture.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
binding.listening,Settings / Controls,{action}: press a key or mouse button. Esc cancels.,Waiting for a fresh input edge,Keyboard/mouse choice; Escape/focus loss cancels; movement/digging blocked,unity/Assets/Runtime/Player/InputBindingCapture.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
binding.unavailable,Settings / Controls,Control unavailable. Choose another.,Unsupported candidate; returns Idle after input quarantine,Select another binding,unity/Assets/Runtime/Player/InputBindingCapture.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
binding.conflict,Settings / Controls,{action}: {candidate} is used by {other action}. Swap bindings?,Candidate used by another action; conflict panel visible,Cancel focused; Swap bindings exchanges assignments; Escape cancels; tabs disabled,unity/Assets/Runtime/Player/InputBindingCapture.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
binding.applied,Settings / Controls,{action} is now {binding}.,Unique binding accepted; persists until next capture,Select next action / Back,unity/Assets/Runtime/Player/InputBindingCapture.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
binding.replaced,Settings / Controls,Bindings updated.,Conflict Swap bindings succeeds,Continue editing / Back,unity/Assets/Runtime/Player/InputBindingCapture.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
binding.changed,Settings / Controls,Bindings changed. Choose the action again.,Conflict changed before Swap bindings,Retry selection,unity/Assets/Runtime/Player/InputBindingCapture.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
binding.cancelled,Settings / Controls,Binding kept.,"Escape, Cancel or focus loss during capture; quarantine until fresh input",Continue editing,unity/Assets/Runtime/Player/InputBindingCapture.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
inventory.title,Inventory,"Inventory
Carried finds: {count} / {capacity}",Inventory binding from gameplay; all builds,Close / inventory binding / Escape -> gameplay,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
inventory.empty,Inventory,No carried finds,Count = 0; list otherwise absent,Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
inventory.row,Inventory,"{item.DisplayName}
${value}",One row per carried identity; whole money with $; value is item.SaleValue,Inspection only; never sells,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,$ replaces currency names; scroll long lists,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
sale.title,Shop / Sell,Sell finds,Interact while aiming within station reach,Row sells immediately; Sell all / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Concise title; each sale row names its action,UNREVIEWED,,Source traced; current views in common-settings.md
sale.balance,Shop / Sell,${balance}     |     BAG  {count} / {capacity},Station open; offer items and wallet,None,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Mint summary bar,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
sale.empty,Shop / Sell,Your bag is empty,Offer has zero items; Sell all disabled,Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
sale.row,Shop / Sell,"{item.DisplayName}
Sell  +${value}",Visible for each offered identity; whole money with $; enabled only for valid wallet-cap-safe sale,"Submit -> sell exact item, matching checkpoint and feedback",unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Whole money with $,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
sale.all,Shop / Sell,Sell all  /  ${total},Enabled only for nonempty valid offer within wallet integer capacity,Submit -> atomic sale of displayed offer,unity/Assets/Runtime/Interaction/SellStation.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
sale.limit,Shop / Sell,Wallet full. These finds remain in your bag.,Total exceeds int.MaxValue minus wallet; replaces station notice,Sell eligible smaller rows or Close; no overflow,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
sale.feedback.single,Shop / Sell + HUD,Sold {name}  |  +${value},Successful one-item sale; station notice lasts until next station event; HUD 2.5s after event,Offer refresh,unity/Assets/Runtime/Interaction/SellStation.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
sale.feedback.batch,Shop / Sell + HUD,Sold {count} finds  |  +${value},Successful multi-item sale,Offer refresh,unity/Assets/Runtime/Interaction/SellStation.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
shop.close,Shops,Close,Always shown; safe initial focus; left footer,Escape / Close -> gameplay,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,"Fixed footer, before transaction button",UNREVIEWED,,Source traced; runtime coverage listed in screens.md
upgrade.title,Workshop,Workshop,Interact with existing upgrade station,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.balance,Workshop,${balance},Always when workshop open,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.heading,Workshop,Shovel | Backpack | Fuel tank | Refill fuel,Right pane follows hovered/clicked/keyboard-focused row,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.complete,Workshop,Max level,Selected track maxed; purchase disabled,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.stats,Workshop,Scoop | Reach | Stroke | Slots | Capacity; {current} → {next},Only selected upgrade details; current only at max,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.affordable,Workshop,${balance-cost} after upgrade,Selected upgrade affordable; Upgrade / ${cost},Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.shortfall,Workshop,Need ${cost-balance} more,Selected upgrade unaffordable; purchase disabled,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.admin,Workshop,Developer overrides active.,Shovel details with development overrides,Select row / explicit purchase / Close,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
upgrade.feedback,Workshop,{equipment} upgraded | -${cost},Successful purchase; refreshed offers and checkpoint,Select row / explicit purchase / Close,unity/Assets/Runtime/Interaction/UpgradeStation.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
station.stale,Shop,Offer changed. Review the current items and price.,Revision/items/price changed; refused command,Review refreshed offer; never duplicate transaction,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
station.unavailable,Shop,Station unavailable. Close and approach it again.,"Station disabled, obstructed or no longer in range",Close,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.creating,Persistence,"Starting a new excavation
Preparing your world...",Creating; input blocked; no actions,Wait -> gameplay only after first checkpoint or NewGameFailed,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.loading,Persistence,"Loading your excavation
Restoring your excavation...",Loading; input blocked; no actions,Wait -> ready/recovery/load failure,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
save.exiting,Persistence,"Saving your excavation
Saving before closing...",ExitRequested; no actions,Wait -> successful write then quit; failure shows retry,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
save.new-failed,Persistence,"Cannot start a new game
Your previous save files have been kept.

{error}",NewGameFailed without contention,Retry / Back to menu / Quit; previous files kept,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.in-use,Persistence,"Saved game already open
This saved game is open in another game window. Switch to that window, or close it and retry here. Your save files have been kept.",ProfileInUse with NewGameFailed or LoadFailed,Retry / Back to menu / Quit; no world mutation,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.recovery,Persistence,"Excavation recovered
Restored the last complete checkpoint.
{lastSaved}
Later changes may be missing. Damaged file kept.","Primary invalid, prior complete checkpoint recovered; world remains blocked",Continue recovered excavation / Quit,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
save.load-failed,Persistence,"Cannot load this excavation
Your save files have been kept. No new excavation has been started.

{lastSaved}

{error}","LoadFailed, no accepted recovery",Retry loading / Quit,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.write-failed,Persistence,"Progress could not be saved
Your excavation is still here. Keep this game open to retry saving.

{lastSaved}

{error}",Development only; WriteFailed; world remains in memory,Retry saving / Quit...,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.discard,Persistence,"Leave without saving?
Your last complete checkpoint will be kept. Changes since then will be lost.

{lastSaved}",Quit requested after write failure,Back (safe default) / Quit without saving,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.error.version,Persistence,This save needs a different game version. Its files have been kept.,UnsupportedSaveException,Retry after version correction; never silently replace,unity/Assets/Runtime/Persistence/WorldSaveCodec.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.error.data,Persistence,This save cannot be read by this version of the game. Its files have been kept.,InvalidDataException or EndOfStreamException,Retry/recovery route,unity/Assets/Runtime/Persistence/WorldSaveController.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.error.storage,Persistence,"The save folder could not be accessed. Check available disk space and folder permissions, then retry.",IOException/UnauthorizedAccessException excluding profile contention,Retry after external condition fixed,unity/Assets/Runtime/Persistence/WorldSaveController.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.error.other,Persistence,The checkpoint could not be processed. Its files have been kept. Please retry.,Other checkpoint error,Retry; OS details only in logs,unity/Assets/Runtime/Persistence/WorldSaveController.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
save.last,Save/recovery dialogs,No checkpoint yet | Saved {HH:mm:ss},Before first complete checkpoint / local time of latest complete one; omitted from Pause,None,unity/Assets/Runtime/Persistence/WorldSaveController.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
admin.title,Developer admin,"Developer admin
Session overrides",Development build only,"Shovel selection, refill, return, reset, battery/x-ray toggles, normal rules, resume",unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
admin.reading,Developer admin,"Shovel {effectiveLevel}  |  {reach:F1} m reach  |  {width:F2} m scoop
This site: {strokes} strokes, {volume:F1} m³ removed.",Development only,None,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
admin.level,Developer admin,{Selected: }Shovel {level} / {reach:F1} m reach,Six level choices; prefix only current effective level,"Session override, no ownership grant",unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
admin.actions,Developer admin,"Refill battery
Return to surface
Reset ground...
Unlimited battery: ON|OFF
X-ray: ON|OFF
Restore normal rules
Resume digging",Development only; X-ray disabled without discoveries; normal rules disabled with no overrides,Named actions; reset -> confirmation; resume -> gameplay,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
admin.reset,Developer confirmation,"Reset the excavation?
All dug ground is lost. Inventory and upgrades stay.
Keep excavation | Reset ground",Confirmed developer reset request,Keep excavation focused / Reset ground; Escape cancels,unity/Assets/Runtime/UI/Toolkit/GameMenuView.cs,CHANGE,Implemented in 123: shared components and immediate settings,UNREVIEWED,,Current views and component rules in design-system.md / common-settings.md
hud.resources,HUD,"BATTERY  {ceilPercent}%  |  {band}
FINDS  {count} / {capacity}
${balance}","Visible only in gameplay; battery frozen under menus. Bands SAFE (>35%), RISKY (<=35%), CRITICAL (<=15%), EMPTY (0), UNLIMITED override",Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,KEEP,Warning semantics remain owned by 93/94,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
hud.equipment,HUD,"SHOVEL {effectiveLevel} / {levelCount}    |    {width:F2} m scoop
REACH {reach:F1} m    |    DEPTH {depth:F1} m","Excavation available, gameplay",Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
hud.recharge,HUD,FUEL AT WORKSHOP,In/near surface landmark; no automatic refill,Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
hud.warning,HUD,LOW FUEL | FUEL CRITICAL | FUEL EMPTY,"Bottom center during gameplay; <=35% yellow / <=15% red / zero red; use owned capacity, including near workshop; hidden for safe, menus or unlimited fuel",Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,CHANGE,"User-selected bottom-center yellow/red warning, implemented in 140",UNREVIEWED,93/94 still own later return-effort semantics,HUD transition/layout checks and official CLI MainGame inspection; build review pending
hud.admin,HUD,DEVELOPER ADMIN{  |  Overrides active}{  |  Unlimited battery},Development only; optional suffixes for actual state,Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
hud.reticle,HUD,+,"Centered; white; steady default. If steady off, scale/color pulse on dig",Aim,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
hud.xray,HUD,o,"Development X-ray only; eligible visible projected finds within 18 m; green collectible, cyan buried",Read only,unity/Assets/Runtime/UI/Toolkit/GameHudView.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
target.held,HUD target,{find}  |  {dig} to throw  |  {grab} to drop,Held find takes target priority; current binding display,Fresh Dig throws; Grab drops,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
target.covered,HUD target,Uncover more  |  {exposurePercent}% / {requiredPercent}% exposed,Aimed find below required exposure; required currently 60%,Dig covering soil,unity/Assets/Runtime/Interaction/BuriedFind.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
target.eligible,HUD target,{find}  |  {Hold|Toggle} {dig} to collect  |  {grab} to lift,Aimed exposed eligible find; direct reach/visibility; bag has room,Recognition-assisted collect or fresh deliberate press; optional lift,unity/Assets/Runtime/Interaction/BuriedFind.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
target.full,HUD target,{find}  |  Inventory full  |  {grab} to lift,Exposed target with full bag,Lift remains available; collection refuses,unity/Assets/Runtime/Interaction/BuriedFind.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
target.station,HUD target,{interact} {station.Title},Aimed reachable active station; titles Sell finds / Workshop,Interact -> station,unity/Assets/Runtime/Interaction/WorldActionContracts.cs,CHANGE,Implemented in 138/139,UNREVIEWED,,MainGame workshop checks; user build review pending
target.boundary,HUD target,Permanent boundary - cannot dig,Aimed permanent boundary,No cut,unity/Assets/Runtime/Terrain/PermanentTerrainBoundary.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
feedback.player,HUD feedback,Low ceiling | Cannot dig here | Not enough charge to dig - return to recharge,"Last event replaces prior message, 2.5 unscaled seconds; hidden behind menus",Fix position or recharge,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
feedback.collection,HUD feedback,"Collected {name}  |  Finds {count}/{capacity}
Inventory full - find left in place
Find already carried",Respective collect success/full/duplicate; 2.5s single message slot,Continue gameplay,unity/Assets/Runtime/Interaction/BuriedFind.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
feedback.rescue,HUD feedback,Fuel empty — rescued  |  {count} {find|finds} lost  |  -${fee},Rescue completed; find singular when 1; single feedback slot 2.5s,Continue from surface,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
feedback.rescue-wait,HUD feedback,Rescue waiting for a clear landing area. Your finds and money are safe.,No clear rescue landing; no losses yet,Wait/retry normal rescue logic,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
feedback.admin,HUD feedback,Normal rules restored | Unlimited battery enabled | Normal battery use restored | Battery refilled | Returned to the surface. Your excavation is preserved. | Fresh ground ready. Shovel level and inventory preserved.,Respective development action; 2.5s,Gameplay,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
feedback.admin-level,HUD feedback,Shovel {level}  |  Reach {reach:F1} m  |  Scoop width {width:F2} m,Development level selected; 2.5s,Gameplay,unity/Assets/Runtime/Player/FpsPlayer.cs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
content.current,Inventory / HUD / sell,Glass Bottle | Rock,"Current New Game: three rock appearances ($2); bottles retained for old saves; historical values preserved",Collect / inspect / sell,unity/Assets/Content/StarterFinds/StarterFindCatalog.asset; linked prefabs,KEEP,,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
content.excluded,Excluded legacy fixtures,Amber bead | Blue marble | Copper token,Old Content/Finds prefabs are not in the current MainGame catalog,Not current release UI,unity/Assets/Content/Finds,KEEP,Excluded from current roster,UNREVIEWED,,Source traced; runtime coverage listed in screens.md
authored.pausePage.controls,pausePage,Controls,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.pausePage.move,pausePage,Move,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.pausePage.hold-to-sprint,pausePage,Sprint (hold),pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.pausePage.hold-to-crouch---move-carefully,pausePage,Crouch (hold),pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.pausePage.mouse,pausePage,MOUSE,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.pausePage.look,pausePage,Look,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
authored.pausePage.lift---drop-a-find,pausePage,Lift / drop,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.pausePage.jump;-hold-for-jetpack,pausePage,Jump / jetpack,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,CHANGE,Implemented in 122: concise menu copy,UNREVIEWED,,Source traced; current views in common-settings.md
authored.pausePage.interact---inventory,pausePage,Interact / inventory,pausePage,Read only; exact authored text,unity/Assets/Runtime/UI/Toolkit/Resources/GameMenus/GameMenus.uxml,KEEP,,UNREVIEWED,,UXML traced; runtime defaults replaced by C# excluded
